CV;CV;Kardiovaskulär;
001;CV;Herzstillstand (nicht traumatisch);
002;CV;Herzstillstand (traumatisch);
003;CV;Brustschmerz (kardial);
004;CV;Brustschmerz (nicht kardial);
005;CV;Palpitationen/unregelmäßiger Herzschlag;
006;CV;Hypertonie;
007;CV;Allgemeine Schwäche;
008;CV;Synkope/Präsynkope;
009;CV;Ödem, generalisiert;
010;CV;Beinschwellung/Ödem;
011;CV;Kühle, pulslose Extremität;
012;CV;Eine Extremität gerötet, überwärmt;
HNE;HNE;HNO (Ohren);
051;HNE;Ohrenschmerzen;
052;HNE;Fremdkörper im Ohr;
053;HNE;Hörverlust;
054;HNE;Tinnitus;
055;HNE;Ausfluss aus dem Ohr;
056;HNE;Ohrverletzung;
HNM;HNM;HNO (Mund, Rachen, Hals);
101;HNM;Zahn-/Zahnfleischprobleme;
102;HNM;Trauma Gesicht;
103;HNM;Halsschmerzen (wunder Rachen);
104;HNM;Halsschwellung/-schmerzen;
105;HNM;Trauma Hals;
106;HNM;Schluckbeschwerden/Dysphagie;
107;HNM;Schmerzen im Gesicht (nicht traumatisch, nicht dental);
HNN;HNN;HNO (Nase);
151;HNN;Nasenbluten;
152;HNN;Verstopfte Nase/Heuschnupfen;
153;HNN;Fremdkörper in der Nase;
154;HNN;Beschwerden eines Infektes der oberen Luftwege;
155;HNN;Trauma Nase;
EV;EV;Umweltbedingt;
201;EV;Erfrierung/Kälteverletzung;
202;EV;Schädliche Inhalation;
203;EV;Stromunfall;
204;EV;Exposition gegenüber Chemikalien;
205;EV;Unterkühlung;
206;EV;Beinahe-Ertrinken;
GI;GI;Gastrointestinal ;
251;GI;Bauchschmerzen;
252;GI;Appetitlosigkeit;
253;GI;Verstopfung;
254;GI;Durchfall;
255;GI;Fremdkörper im Rektum;
256;GI;Leistenschmerzen/-schwellung;
257;GI;Übelkeit und/oder Erbrechen;
258;GI;Rektale/perineale Schmerzen;
259;GI;Bluterbrechen;
260;GI;Peranaler Blutabgang/Teerstuhl;
261;GI;Ikterus;
262;GI;Schluckauf;
263;GI;Abdominelle Raumforderung/gespanntes Abdomen;
264;GI;Trauma anal/rektal;
265;GI;Fremdkörper oral/ösophageal;
266;GI;Trinkstörung des Neugeborenen;
267;GI;Neugeborenenikterus;
GU;GU;Urogenital;
301;GU;Flankenschmerz;
302;GU;Hämaturie;
303;GU;Genitaler Ausfluss/Läsion;
304;GU;Penisschwellung;
305;GU;Skrotale Schmerzen und/oder Schwellung;
306;GU;Harnverhalt;
307;GU;Beschwerden eines Harnwegsinfektes;
308;GU;Oligurie;
309;GU;Polyurie;
310;GU;Trauma genital;
MH;MH;Psychische Verfassung;
351;MH;Depression/Suizidalität/absichtliche Selbstschädigung;
352;MH;Angst/situationsbezogene Krise;
353;MH;Halluzinationen/Wahnvorstellungen;
354;MH;Schlafstörung;
355;MH;Gewalttätiges Verhalten/Fremdgefährdung;
356;MH;Soziales Problem;
358;MH;Sonderbares Verhalten;
359;MH;Sorge um das Wohlergehen des Patienten;
360;MH;Kindliche Verhaltensauffälligkeit;
NC;NC;Neurologisch;
401;NC;Veränderter Bewußtseinszustand;
402;NC;Verwirrtheit;
403;NC;Schwindel;
404;NC;Kopfschmerz;
405;NC;Krampfanfall;
